"","SYMBOL","GENENAME","ENTREZID","logFC","logCPM","F","PValue","FDR","direction","threshold"
"ENSMUSG00000019787","Trdn","triadin",76757,3.99550768651899,-1.48133813116725,11.6641191642238,0.00224908180572991,0.628282975309428,"up","FALSE"
"ENSMUSG00000030781","Slc5a2","solute carrier family 5 (sodium/glucose cotransporter), member 2",246787,5.64821954632802,-1.13258257295722,11.5459983044765,0.00234735779413661,0.636882317720501,"up","FALSE"
"ENSMUSG00000030730","Atp2a1","ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",11937,3.24458194390812,1.54279666168143,11.114734791533,0.00240429715361713,0.636882317720501,"up","FALSE"
"ENSMUSG00000061723","Tnnt3","troponin T3, skeletal, fast",21957,4.2146418361975,2.20871202149654,11.2610561320081,0.00242276272034222,0.636882317720501,"up","FALSE"
"ENSMUSG00000029830","Svopl","SV2 related protein homolog (rat)-like",320590,3.32832831407953,-1.25313020732393,11.0223788315567,0.00249155458006122,0.636882317720501,"up","FALSE"
"ENSMUSG00000035236","Scai","suppressor of cancer cell invasion",320271,-0.663447533038329,1.74151613211153,10.9340058940733,0.00257826013522621,0.636882317720501,"down","FALSE"
"ENSMUSG00000022613","Miox","myo-inositol oxygenase",56727,3.134120044059,1.14619046918475,10.8568529504112,0.00265662653283495,0.636882317720501,"up","FALSE"
"ENSMUSG00000048458","Inka2","inka box actin regulator 2",109050,1.59831012344569,1.38274810381336,10.8548151141449,0.00265873100786244,0.636882317720501,"up","FALSE"
"ENSMUSG00000044951","Mylk4","myosin light chain kinase family, member 4",238564,3.16951474621765,-2.07816741086337,10.9723276043032,0.00270152395544295,0.636882317720501,"up","FALSE"
"ENSMUSG00000030246","Ldhb","lactate dehydrogenase B",16832,0.911880000751854,2.57197647852676,10.8055084034828,0.00271020329937274,0.636882317720501,"up","FALSE"
"ENSMUSG00000032348","Gsta4","glutathione S-transferase, alpha 4",14860,0.619200321824916,7.6464495752913,10.7618445178647,0.00275668485754771,0.636882317720501,"up","FALSE"
"ENSMUSG00000061816","Myl1","myosin, light polypeptide 1",17901,3.97297627280593,0.357043184953468,10.9123482995377,0.00276369460189693,0.636882317720501,"up","FALSE"
"ENSMUSG00000017817","Jph2","junctophilin 2",59091,1.25550526626044,0.861767761416407,10.7135405549609,0.00280911202705222,0.636882317720501,"up","FALSE"
"ENSMUSG00000094124","Ighv1-74","immunoglobulin heavy variable V1-74",100775173,-3.13414366321849,-1.48106187263602,10.6941869697246,0.00283041922029108,0.636882317720501,"down","FALSE"
"ENSMUSG00000039084","Chad","chondroadherin",12643,-3.84595612947501,-2.20576157059716,10.8259507854641,0.00285599622807667,0.636882317720501,"down","FALSE"
"ENSMUSG00000036500","Akp3","alkaline phosphatase 3, intestine, not Mn requiring",11648,-8.58801174489703,0.349878568609199,12.5202029512547,0.0029175692558968,0.636882317720501,"down","FALSE"
"ENSMUSG00000031972","Acta1","actin, alpha 1, skeletal muscle",11459,3.55309775561552,2.71637756415042,10.613747140369,0.00292086989228767,0.636882317720501,"up","FALSE"
"ENSMUSG00000044042","Fmn1","formin 1",14260,-0.480735521557039,3.45046744178447,10.5783392711261,0.00296167069040797,0.636882317720501,"down","FALSE"
"ENSMUSG00000057842","Zfp595","zinc finger protein 595",218314,-0.631585632145708,2.52986726527278,10.5457042196854,0.00299982251014492,0.636882317720501,"down","FALSE"
"ENSMUSG00000029784","Ssmem1","serine-rich single-pass membrane protein 1",75647,1.7918954853151,-1.01032143823028,10.4602005210322,0.00310232359734381,0.642313154207441,"up","FALSE"
"ENSMUSG00000016995","Matn4","matrilin 4",17183,2.74031930509037,-1.7340596811512,10.4571252597511,0.00310608006493581,0.642313154207441,"up","FALSE"
"ENSMUSG00000021750","Fam107a","family with sequence similarity 107, member A",268709,1.16766570342552,0.145046473002653,10.377415542516,0.00320518315420417,0.646717268538301,"up","FALSE"
"ENSMUSG00000095416","Ighv1-12","immunoglobulin heavy variable V1-12",629860,-3.08599437351197,-1.8086223466747,10.3691406334984,0.00321566566327581,0.646717268538301,"down","FALSE"
"ENSMUSG00000096594","Igkv8-19","immunoglobulin kappa variable 8-19",232065,-2.36198268681292,-0.900706576925005,10.3401061072454,0.00325274043373935,0.646717268538301,"down","FALSE"
"ENSMUSG00000043999","Gpr75","G protein-coupled receptor 75",237716,2.71278923032434,-1.22693335943859,10.3114094516632,0.00328983851985193,0.646717268538301,"up","FALSE"
"ENSMUSG00000095497","Igkv1-122","immunoglobulin kappa chain variable 1-122",434024,-2.95507343129617,-2.27122967696809,10.406850256312,0.00335388364465261,0.648057729545472,"down","FALSE"
"ENSMUSG00000028222","Calb1","calbindin 1",12307,4.25068069159809,-1.50441813404934,10.2445526277799,0.00337805636828953,0.648057729545472,"up","FALSE"
"ENSMUSG00000038751","Ptk6","PTK6 protein tyrosine kinase 6",20459,-1.17413642983913,-0.473426881930349,10.1716499341024,0.00347717787364252,0.659132181928689,"down","FALSE"
"ENSMUSG00000020027","Socs2","suppressor of cytokine signaling 2",216233,-0.94193295627287,4.15867140720904,10.0812187962345,0.00360452739811933,0.672531278802907,"down","FALSE"
"ENSMUSG00000076666","Ighv14-4","immunoglobulin heavy variable 14-4",629826,-2.87885154662616,-1.00847502788398,10.1978188384131,0.00363683879818684,0.672531278802907,"down","FALSE"
"ENSMUSG00000063903","Klk1","kallikrein 1",16612,3.39195497277886,1.48921586212728,10.0329417096816,0.00367457270965603,0.672531278802907,"up","FALSE"
"ENSMUSG00000036427","Gpi1","glucose-6-phosphate isomerase 1",14751,0.392341905032428,8.0717586211953,9.88105940955906,0.00390472028019682,0.706532511608796,"up","FALSE"
"ENSMUSG00000045350","Fam186a","family with sequence similarity 186, member A",72277,2.75948588083869,-1.65934239038365,9.79704394755619,0.00403869517400257,0.715040208654322,"up","FALSE"
"ENSMUSG00000044352","Sowaha","sosondowah ankyrin repeat domain family member A",237761,3.33125908292219,-1.71655103296792,10.6484253988072,0.00404155113853476,0.715040208654322,"up","FALSE"
"ENSMUSG00000076562","Igkv4-50","immunoglobulin kappa variable 4-50",381782,-2.13820100059667,-0.626224418446647,9.711322138934,0.00418053698848511,0.725795423644601,"down","FALSE"
"ENSMUSG00000032355","Mlip","muscular LMNA-interacting protein",69642,3.46620034829236,-1.93734470952435,10.5280574322042,0.00421390208954384,0.725795423644601,"up","FALSE"
"ENSMUSG00000038670","Mybpc2","myosin binding protein C, fast-type",233199,3.35782303411433,-1.19518972345962,9.80638604094699,0.00423908650373346,0.725795423644601,"up","FALSE"
"ENSMUSG00000015401","Cltrn","collectrin, amino acid transport regulator",57394,3.52325514370123,-0.976629837586439,9.59233289245281,0.00438644085162346,0.741955621086884,"up","FALSE"
"ENSMUSG00000006724","Cyp27b1","cytochrome P450, family 27, subfamily b, polypeptide 1",13115,2.20029343590745,-0.452548576248056,9.56790270164923,0.00443006019862167,0.741955621086884,"up","FALSE"
"ENSMUSG00000068744","Psrc1","proline/serine-rich coiled-coil 1",56742,2.18736166173078,3.74053981537665,9.53231383098856,0.00449444601560861,0.741955621086884,"up","FALSE"
"ENSMUSG00000028773","Fabp3","fatty acid binding protein 3, muscle and heart",14077,3.26189973968275,-0.782288364046791,9.51841938709695,0.00451985776834942,0.741955621086884,"up","FALSE"
"ENSMUSG00000059741","Myl3","myosin, light polypeptide 3",17897,3.17811256291742,-1.28514609596477,9.59355006536787,0.00461144294149342,0.744237934640815,"up","FALSE"
"ENSMUSG00000071317","Bves","blood vessel epicardial substance",23828,2.38061139343764,-1.33173021903833,9.46062539650446,0.00462724081702196,0.744237934640815,"up","FALSE"
"ENSMUSG00000013418","B4galnt2","beta-1,4-N-acetyl-galactosaminyl transferase 2",14422,-3.16390354305015,-1.90159550694718,9.38974486350736,0.0047627284396763,0.758369249449658,"down","FALSE"
"ENSMUSG00000021798","Ldb3","LIM domain binding 3",24131,1.73362956662503,0.102261297003933,9.31264229174756,0.00491500791656598,0.766698303967122,"up","FALSE"
"ENSMUSG00000013643","Lypd8","LY6/PLAUR domain containing 8",70163,-5.1289364885305,-1.93964902237166,10.3810682540657,0.00493673861723197,0.766698303967122,"down","FALSE"
"ENSMUSG00000046179","E2f8","E2F transcription factor 8",108961,-0.828670649040582,2.05103370224246,9.29060891311011,0.004959487867149,0.766698303967122,"down","FALSE"
"ENSMUSG00000048216","Gpr85","G protein-coupled receptor 85",64450,-2.55223429393053,-2.08415828855558,9.23440286815725,0.00507494244972401,0.770910308492905,"down","FALSE"
"ENSMUSG00000032373","Car12","carbonic anhydrase 12",76459,3.2270292201693,-1.07476274841244,9.23026165407652,0.00508356354906456,0.770910308492905,"up","FALSE"
"ENSMUSG00000031881","Cdh16","cadherin 16",12556,4.14183626800032,-1.11327716691537,9.17620786103789,0.00519755962565566,0.780761716219954,"up","FALSE"
"ENSMUSG00000057933","Gsta2","glutathione S-transferase, alpha 2 (Yc2)",14858,0.841538311599152,8.59038088900103,9.131211644271,0.00529456846364403,0.781662207554495,"up","FALSE"
"ENSMUSG00000020566","Atp6v1c2","ATPase, H+ transporting, lysosomal V1 subunit C2",68775,2.93295100372925,-1.94503677500917,9.12792329833765,0.00530173449826575,0.781662207554495,"up","FALSE"
"ENSMUSG00000035305","Ror1","receptor tyrosine kinase-like orphan receptor 1",26563,-0.729670643303748,1.74706277720269,9.05323060081585,0.00546737199870799,0.798077255328869,"down","FALSE"
"ENSMUSG00000069873","4930438A08Rik","RIKEN cDNA 4930438A08 gene",73988,2.61112111148411,-1.23243933474536,9.01240819621052,0.00556026410552492,0.798077255328869,"up","FALSE"
"ENSMUSG00000032743","Katnip","katanin interacting protein",233865,-0.315687645846634,4.43984857569488,9.01102780128955,0.00556343498973212,0.798077255328869,"down","FALSE"
"ENSMUSG00000031166","Wdr13","WD repeat domain 13",73447,-0.312770303782159,5.02025483104052,8.96817199063636,0.0056628606491943,0.80177477304788,"down","FALSE"
"ENSMUSG00000028370","Pappa","pregnancy-associated plasma protein A",18491,-2.12656294252269,-1.49191040056488,8.95665094231634,0.00568991706050433,0.80177477304788,"down","FALSE"
"ENSMUSG00000030917","Tmem159","transmembrane protein 159",233806,0.599221989920309,2.21061406863886,8.91047928227286,0.00579976365117487,0.810084531733837,"up","FALSE"
"ENSMUSG00000022490","Ppp1r1a","protein phosphatase 1, regulatory inhibitor subunit 1A",58200,3.57434727230765,-1.74287409311402,9.12514170485934,0.00586687850846846,0.812333099916028,"up","FALSE"
"ENSMUSG00000060038","Dhps","deoxyhypusine synthase",330817,0.350175406618778,4.06082730481333,8.80022968543863,0.00607147618923703,0.833414787596735,"up","FALSE"
"ENSMUSG00000043415","Otud1","OTU domain containing 1",71198,0.450495404281484,2.37046793589597,8.73888055603385,0.00622862971334787,0.835112674668851,"up","FALSE"
"ENSMUSG00000089942","Pira2","paired-Ig-like receptor A2",18725,-1.84735458188465,-0.109671483133696,8.68870365104739,0.00636044731109042,0.835112674668851,"down","FALSE"
"ENSMUSG00000021213","Akr1c13","aldo-keto reductase family 1, member C13",27384,0.469902394795942,7.86919390073164,8.66301409894963,0.00642910460740751,0.835112674668851,"up","FALSE"
"ENSMUSG00000090298","Sult3a2","sulfotransferase family 3A, member 2",215895,-3.72268284754557,-1.2198245265543,8.88138273268947,0.00646303150225946,0.835112674668851,"down","FALSE"
"ENSMUSG00000028834","Trim63","tripartite motif-containing 63",433766,3.21053554208024,-1.79092828776042,8.64105218374907,0.00648843755253631,0.835112674668851,"up","FALSE"
"ENSMUSG00000030592","Ryr1","ryanodine receptor 1, skeletal muscle",20190,1.96768445902833,-0.141409116901978,8.60795730937539,0.00657897335194424,0.835112674668851,"up","FALSE"
"ENSMUSG00000037148","Arhgap10","Rho GTPase activating protein 10",78514,0.71119304787936,3.64222247332344,8.54559584233609,0.00675332170321328,0.835112674668851,"up","FALSE"
"ENSMUSG00000020061","Mybpc1","myosin binding protein C, slow-type",109272,2.3404215226372,-0.425724543180474,8.52520929276579,0.00681140084744172,0.835112674668851,"up","FALSE"
"ENSMUSG00000025241","Fyco1","FYVE and coiled-coil domain containing 1",17281,-0.293494775714912,5.54748834129059,8.52297433881772,0.00681780091246625,0.835112674668851,"down","FALSE"
"ENSMUSG00000040265","Dnm3","dynamin 3",103967,1.1114145855127,0.136784734193952,8.50905583344015,0.00685780552133969,0.835112674668851,"up","FALSE"
"ENSMUSG00000018339","Gpx3","glutathione peroxidase 3",14778,1.65593992136043,6.09798021234877,8.50895255093758,0.00685810332730141,0.835112674668851,"up","FALSE"
"ENSMUSG00000076550","Igkv4-63","immunoglobulin kappa variable 4-63",628571,3.79467008460971,-1.80324364414215,8.59668991910899,0.00689990532093163,0.835112674668851,"up","FALSE"
"ENSMUSG00000046688","Tifa","TRAF-interacting protein with forkhead-associated domain",211550,-0.383276255034207,4.03144772681071,8.48415985543725,0.00692999884377083,0.835112674668851,"down","FALSE"
"ENSMUSG00000020226","Slc5a4b","solute carrier family 5 (neutral amino acid transporters, system A), member 4b",64454,2.49656138914916,-0.23875871195311,8.47340330519415,0.0069614456453944,0.835112674668851,"up","FALSE"
"ENSMUSG00000101693","Gm19461","predicted gene, 19461",100502933,1.74792888039732,0.411987685424527,8.45698684160189,0.0070097383646952,0.835112674668851,"up","FALSE"
"ENSMUSG00000028416","Bag1","BCL2-associated athanogene 1",12017,0.261563292083408,6.76471675004308,8.43017380723612,0.00708939922257137,0.835112674668851,"up","FALSE"
"ENSMUSG00000026510","Trp53bp2","transformation related protein 53 binding protein 2",209456,0.25091057041406,4.84847040263586,8.4025965679782,0.0071723573869749,0.835112674668851,"up","FALSE"
"ENSMUSG00000031461","Myom2","myomesin 2",17930,3.18069695970061,-2.09151924029332,8.49846459515077,0.00718516214116703,0.835112674668851,"up","FALSE"
"ENSMUSG00000048473","Sult6b2","sulfotransferase family 6B, member 2",330440,-6.25346430040013,-1.5216976582201,10.0616743441045,0.00721116710785082,0.835112674668851,"down","FALSE"
"ENSMUSG00000027077","Smtnl1","smoothelin-like 1",68678,2.93220725685482,-1.90002384754354,8.38881401012534,0.00721421292596382,0.835112674668851,"up","FALSE"
"ENSMUSG00000070530","Wfdc16","WAP four-disulfide core domain 16",277345,2.08288755265695,-1.62106950838125,8.36921100205881,0.00727420203438993,0.835112674668851,"up","FALSE"
"ENSMUSG00000035189","Ano4","anoctamin 4",320091,3.19438289066482,-2.01231908931323,9.00549229697931,0.00727677749785584,0.835112674668851,"up","FALSE"
"ENSMUSG00000032598","Nckipsd","NCK interacting protein with SH3 domain",80987,-0.859476445607573,0.791892847928005,8.36142994820555,0.00729816366211105,0.835112674668851,"down","FALSE"
"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609",665378,1.09098627719379,-0.0379670820275377,8.34708233876022,0.00734257203125285,0.835112674668851,"up","FALSE"
"ENSMUSG00000042532","Golga7b","golgi autoantigen, golgin subfamily a, 7B",71146,2.53729681248457,-0.748186711553131,8.30867708252621,0.00746289426263155,0.838396508043385,"up","FALSE"
"ENSMUSG00000028893","Sesn2","sestrin 2",230784,0.656404020832165,5.26394872961962,8.2978215855249,0.0074972912482242,0.838396508043385,"up","FALSE"
"ENSMUSG00000020646","Mboat2","membrane bound O-acyltransferase domain containing 2",67216,1.88100001275966,-0.963704396332402,8.28773569882133,0.00752940404761691,0.838396508043385,"up","FALSE"
"ENSMUSG00000064225","Paqr9","progestin and adipoQ receptor family member IX",75552,-0.574973370419766,6.83134699499107,8.26972417738146,0.00758712395477861,0.838956768971805,"down","FALSE"
"ENSMUSG00000005251","Ripk4","receptor-interacting serine-threonine kinase 4",72388,0.490893291021002,3.66546678558773,8.24747451980774,0.00765909019201941,0.84107374570707,"up","FALSE"
"ENSMUSG00000079055","Slc8a3","solute carrier family 8 (sodium/calcium exchanger), member 3",110893,1.99560459596728,-1.13025881630717,8.20668018310514,0.0077929735061911,0.846726712502584,"up","FALSE"
"ENSMUSG00000022026","Olfm4","olfactomedin 4",380924,-2.70525088392815,-2.00171466792903,8.29371962511981,0.00782203466095206,0.846726712502584,"down","FALSE"
"ENSMUSG00000027712","Anxa5","annexin A5",11747,0.428876057211185,7.27905509326989,8.1806671915018,0.00787967261954676,0.846726712502584,"up","FALSE"
"ENSMUSG00000019178","Styxl1","serine/threonine/tyrosine interacting-like 1",76571,1.34828583994681,-0.179153571619152,8.16770267150616,0.00792327326275733,0.846726712502584,"up","FALSE"
"ENSMUSG00000028862","Map3k6","mitogen-activated protein kinase kinase kinase 6",53608,0.690729530415896,2.92427939926122,8.1139194795901,0.00810697134432964,0.860582031438406,"up","FALSE"
"ENSMUSG00000095351","Igkv3-2","immunoglobulin kappa variable 3-2",626583,-2.93629941343578,-0.470452294249831,8.03544813213179,0.00838335039918072,0.884027075537448,"down","FALSE"
"ENSMUSG00000058743","Kcnj14","potassium inwardly-rectifying channel, subfamily J, member 14",211480,2.28764215520638,-1.72320468863671,7.98423548114636,0.008569239546228,0.886491655895817,"up","FALSE"
"ENSMUSG00000042096","Dao","D-amino acid oxidase",13142,4.24405785033782,-1.92623419940732,8.15690944700742,0.00866416051184587,0.886491655895817,"up","FALSE"
"ENSMUSG00000006216","Clcnkb","chloride channel, voltage-sensitive Kb",56365,5.34095450032645,-1.88863161941469,8.51390080301937,0.00874739166879513,0.886491655895817,"up","FALSE"
"ENSMUSG00000085995","Gm2788","predicted gene 2788",108167326,-1.05192761715243,4.54208167841246,7.92781889029127,0.00877922176780735,0.886491655895817,"down","FALSE"
"ENSMUSG00000009549","Srp14","signal recognition particle 14",20813,0.230438723928954,5.73000419203533,7.89205760129613,0.00891521957677062,0.886491655895817,"up","FALSE"
"ENSMUSG00000027950","Chrnb2","cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)",11444,0.677914515979412,2.16480013440123,7.8761073134557,0.00897661508621933,0.886491655895817,"up","FALSE"
